# date	 open	 high	 low	 close	 adjClose	 volume	 5-day moving average close	 20-day moving average close
2021-01-06     9.340     9.530     9.280     9.300     9.300 2094600     9.490     9.874 
2021-01-07     9.310     9.490     9.190     9.380     9.380 1780800     9.378     9.850 
2021-01-08     9.400     9.630     9.350     9.570     9.570 1914500     9.386     9.834 
2021-01-11     9.450     9.950     9.410     9.800     9.800 2847900     9.474     9.822 
2021-01-12     9.830     9.920     9.630     9.770     9.770 1405600     9.564     9.809 
2021-01-13     9.760     9.850     9.500     9.590     9.590 1703700     9.622     9.783 
2021-01-14     9.630     9.980     9.620     9.970     9.970 2222000     9.740     9.782 
2021-01-15     9.900     9.950     9.440     9.490     9.490 2012400     9.724     9.759 
2021-01-18     9.560     9.730     9.380     9.450     9.450 1431800     9.654     9.725 
2021-01-19     9.530     9.560     9.310     9.530     9.530 1445000     9.606     9.698 
2021-01-20     9.540     9.760     9.460     9.700     9.700 1859500     9.628     9.683 
2021-01-21     9.670     9.790     9.390     9.450     9.450 1491100     9.524     9.658 
2021-01-22     9.320     9.480     9.230     9.360     9.360 2392500     9.498     9.629 
2021-01-26     9.360     9.590     9.100     9.180     9.180 20776200     9.444     9.588 
2021-01-27     9.160     9.460     9.070     9.280     9.280 1553500     9.394     9.554 
2021-01-28     9.270     9.790     9.220     9.620     9.620 2118700     9.378     9.530 
2021-01-29     9.540     9.720     9.330     9.390     9.390 1052300     9.366     9.502 
2021-02-01     9.500    10.050     9.400     9.970     9.970 4218300     9.488     9.524 
2021-02-02    10.060    10.190     9.910    10.070    10.070 3112400     9.666     9.560 
2021-02-03    10.130    11.760    10.130    11.290    11.290 10309200    10.068     9.658 
2021-02-04    11.380    12.110    11.120    11.850    11.850 8836300    10.514     9.786 
2021-02-05    11.920    12.300    11.720    12.260    12.260 4777000    11.088     9.930 
2021-02-08    12.370    13.320    12.260    13.040    13.040 7743700    11.702    10.103 
2021-02-09    12.680    13.200    12.410    13.100    13.100 9103300    12.308    10.268 
2021-02-10    13.060    13.070    12.560    12.750    12.750 4595300    12.600    10.417 
2021-02-11    12.920    13.050    12.630    12.800    12.800 3253200    12.790    10.578 
2021-02-12    12.780    12.910    12.470    12.560    12.560 5090700    12.850    10.707 
2021-02-17    -1.000    -1.000    -1.000    -1.000    -1.000 0    10.042    10.183 
2021-02-18    12.690    13.660    12.610    12.960    12.960 6732600    10.014    10.358 
2021-02-19    13.100    13.520    12.770    13.450    13.450 2827000    10.154    10.554 
2021-02-22  1290.000  1293.000  1230.000  1252.000  1252.000 5058400   257.994    72.669 
2021-02-23  1267.000  1344.000  1234.000  1341.000  1341.000 8956200   523.682   139.247 
2021-02-24    13.790    14.690    13.790    14.210    14.210 8198700   526.724   139.489 
